Country/Region;Country_Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
República Centroafricana;CAF;38336816,27;44034883,78;46936105,26;49792587,35;57952747,69;56720594,76;67160971,42;76828946,56;75999785,11;70699836,82;78597127,89;75389852,43;77877594,76;98946247,28;121947245,32;151160965,11;132307723,15;174129603,71;206899174,81;246199305,57;327433570,02;236648293,63;256106186,95;241183767,12;226437019,05;273603657,55;321221786,87;342886690,01;316906397,29;326536958,44;372791488,29;359806867,54;372229135,92;292701084,11;212952087,76;315152768,19;258135823,43;271328255,34;274652946,22;239761597,83;231254888,68;210345022,81;199723610,82;205101408,24;244440120,18;290317082,68;322489945,78;398343553,11;465218535,94;445847327,63;488611125,88;520455657,59;539911073,47;396266771,63;690077898,60;611811302,11;651691445,37;826531408,32;1043416422,64;1054197551,85
Canadá;CAN;;7480255448,94;7594733339,99;7854369042,81;8918902584,55;10166208353,37;11787616836,15;12634558504,64;14340936627,46;16708226653,86;17327973968,80;19613784907,90;23413476108,70;28460153984,60;38774028629,86;41679119150,61;46807302231,24;48954395862,72;53336547733,85;63191053440,33;70921142661,65;79017432646,59;67407797681,77;74471762414,80;87539186163,23;92626876601,98;98835552356,96;107690045248,87;128938815308,36;141918074324,32;148543023654,44;152336562800,04;157743857036,49;168552050228,66;183320152314,00;199747158262,90;209119911991,20;237129134768,16;241249747219,41;259518745372,55;287155747087,74;268281895661,16;271159115529,22;295296552708,59;337418139892,39;385981185014,03;430736071932,30;470813704496,79;506718837863,17;411817863703,96;502010952596,42;570485589413,96;589615585237,93;589243562989,06;588710866502,78;533984929798,81;517480148033,86;554742037712,44;584148204430,15;578789449519,37
Europa Central y del Báltico;CEB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;131288457153,78;150312055288,12;161081744018,49;177844055412,87;172996225032,55;185899763094,07;201914501929,81;226965795111,21;288898493358,07;376135050377,83;442148941586,16;543089190531,89;702641958464,50;843563811420,16;610870770218,74;698647610798,63;829485066600,47;789926635152,40;823176736926,85;866979816866,38;762191346634,20;779532477196,60;890626888259,52;1017162626016,67;1007021730237,19
Suiza;CHE;;;;;;;;;;;10241069060,14;11663672561,02;13813883172,31;18866870576,34;23401481891,72;22223980939,84;24658898623,78;29624833368,01;39694626398,21;48982225296,21;58659625231,25;52734624783,63;49532228242,13;49686924872,56;47851991743,63;49279196613,89;67413713380,40;77985374865,88;86892624888,95;89079899138,09;107335887561,19;101178815202,23;104435211207,51;97940820249,05;106081909044,38;124759357293,87;125201505663,43;120714274788,12;124404269554,42;123684812275,33;125112051752,72;126148528679,78;127246262671,63;146182464542,96;167604367511,06;190201337937,68;206957086457,17;239991125458,18;288924444649,62;269127172134,91;311077560397,92;398974963728,76;378438382313,37;412218525783,05;372933612872,06;343410804410,89;364037340881,07;370405524233,47;380094593424,57;375480873437,15
Islas del Canal;CHI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chile;CHL;650749016,05;715645411,27;693171652,51;837155008,15;791274033,79;762605297,15;948058867,38;905155989,00;938779738,77;1178165029,63;1274882355,12;1310730653,29;1560151045,87;2590758338,72;3129223815,49;2025346736,36;2100124103,82;3074828154,05;3782801705,90;5570423584,95;7679845876,34;9047297176,61;5382281400,68;4355576959,59;4799834957,80;4307602967,66;4672424640,00;5752821225,91;6765529485,84;8748407009,58;9686180975,72;10137181116,20;12544703151,58;13669475781,48;14680688842,40;19346618433,60;21946625731,20;24191173540,10;23494325678,16;19982048574,24;22411585684,81;21822419952,28;21332345471,88;23190197866,07;29694953337,33;38680972557,18;45358377418,13;54405352884,08;70715782094,36;50503967542,87;68442909063,85;86884940756,20;91222239391,72;91237694284,41;83794977253,90;72190113685,03;68969744994,92;75401011000,77;85798121554,18;80635442457,66
China;CHN;2644406531,81;1746689414,25;1372979120,97;1450158420,67;1710130798,60;2246323828,09;2481923795,60;2169144528,39;2067592818,26;1917296287,27;2278820375,34;2128523844,34;2850652532,18;5207600281,49;7791148276,57;7925583396,06;6660142165,45;7148239853,59;7617886178,86;10560869565,22;12450000000,00;14591269841,27;17788124795,19;19385304449,37;24710305080,89;38302403273,95;33592580690,47;33781853910,00;48984701330,00;46118793490,00;38461758920,00;43941659170,00;61849400129,00;86072328750,00;97250445198,00;119900826000,00;137261877000,00;144623820000,00;144913704696,00;168058444268,42;224306238158,48;243973790217,76;295619639659,43;412137124715,32;556182551584,76;648712207879,78;782812463259,90;950020767157,33;1149036249785,66;1042533759652,94;1432415877173,64;1825402621469,38;1943215391729,07;2119378054518,82;2241288603088,79;2003257157592,74;1944484096019,26;2208504214346,47;2548884789083,92;2476286917545,57
Côte d'Ivoire;CIV;125105306,75;173748889,04;166140901,80;178997244,67;227712352,75;277073943,66;293880244,25;311787445,09;358694218,52;368517384,94;423656620,71;450325312,82;536449174,61;833598036,60;1178207134,72;1424552666,22;1689889740,76;2276134374,15;2957600540,47;3443467897,95;4190182122,65;3565652190,49;2975901592,57;2442621512,28;2175043870,02;2260591209,83;2764108286,92;2987988909,17;2860181708,67;2835035989,03;2926929958,26;2831550803,97;3135722395,25;2861522066,83;2436641848,49;3788785442,57;3935331284,34;4136989192,85;4410458617,13;4225089820,66;3628438193,80;3680006095,05;4019450689,42;5120221266,73;6335428131,48;7524507907,32;7608118744,56;8598742629,28;9767800448,43;9731750434,94;10792175657,64;9488611743,36;11986924850,40;12070086713,98;12154657764,05;11618672296,24;10993659189,18;12185461736,69;13590232362,61;13244332330,34
Camerún;CMR;;;;;;197515591,29;201177195,89;210907991,39;259406643,90;263432919,05;286172800,97;335126959,86;373274385,80;422044770,77;514251588,03;703141264,86;841897802,94;936044260,08;1240159146,08;1641291151,47;1828861014,32;2169800854,35;2117131907,18;2163148272,09;2418063345,72;2572868199,66;2413598418,22;2537512534,91;1994132705,92;1979526250,05;1930731927,41;1820379196,91;2087299308,23;1942661109,59;2008477429,45;1698592173,58;2436723533,61;2704330298,12;2384496409,60;2275345529,56;2515403938,73;2933604778,47;3189636262,85;3741046546,60;4222751576,23;4731960093,89;5092288035,29;6621856552,55;8694602319,36;6860732723,50;7053080441,71;9107630240,17;8809093140,17;9719406535,26;10541186935,36;8539259287,32;7823117095,08;7914211615,92;9169622996,99;9616496362,08
Congo, República Democrática del;COD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1157757147,35;1338976146,01;1749529627,10;913626093,65;2044259390,06;826448700,00;2971014492,75;971000000,00;1190984744,49;2684033000,70;2739841246,91;3514019627,23;3795526426,35;6873939038,58;8854270978,60;6738233802,20;10704459171,21;11804250540,71;11004111269,20;13405258918,69;15030792168,79;11984597102,44;11871538073,83;14843047292,17;17773436026,66;16666815693,80
