Country/Region;Country_Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
República Centroafricana;CAF;26101663,53;32618432,43;30610513,53;32650875,61;40403674,37;40806179,20;44773980,94;43089273,25;65799813,95;51399881,37;60397792,93;60030783,73;57429311,31;77607282,00;78051053,01;80012173,79;100096590,72;127861435,85;142999429,66;157199556,60;201027829,00;169417064,64;165958843,45;159064482,53;149211719,38;190340624,53;204099901,27;214306676,79;224453261,76;250535801,11;245892968,90;242234415,39;238129779,62;218665883,14;199169783,69;247850138,36;216376660,53;252105044,40;219168752,43;192136061,27;186303954,22;159877005,10;158252320,48;207845728,92;177784785,78;178708437,53;209094018,80;239616991,83;218449261,65;202648827,38;249093411,14;320054001,22;289922972,26;253274147,22;315975075,20;289437776,69;270501999,98;357682947,60;419401328,48;414205622,70
Canadá;CAN;;7215712236,97;7439414166,11;8094515611,35;9398224064,41;9996446867,04;11675300776,84;13131449205,24;15002668947,89;16551276495,20;19265001435,54;20913052089,52;24070108091,73;29896010398,96;38617586912,07;38302202123,48;44942190669,37;48202162670,43;53813447882,88;64212907631,89;75584160109,48;81065977145,72;79268055442,98;85210159039,27;99654852907,11;100872940314,90;102284994602,38;112629713423,83;132708214837,09;142065878378,38;149461775797,05;149170812603,65;155724331926,86;168751259592,28;190114967779,73;218740163217,72;233945727906,12;249765997399,97;253784967981,13;283991384532,54;329258635782,10;310667613636,36;304705919836,87;330149882235,39;383240584166,03;432369202838,75;467052186177,72;502770691741,92;534150890346,77;391985828011,55;471713799062,58;550012247691,21;555062538866,14;560294156017,37;572379685543,25;495626646067,83;481435925075,47;518235397597,28;550529196589,90;549482700560,33
Europa Central y del Báltico;CEB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;128466783317,87;136154529156,72;143468956075,73;158097529044,92;153021929621,20;165176972328,23;183183795009,54;206574242632,26;264058472744,45;345684671211,92;413012328819,60;502206768686,12;640334207750,33;761588627854,89;601249440457,08;688328660607,68;823574187754,10;799029883658,78;856883231196,68;901931181021,46;801792731937,23;832485942213,00;942778190415,81;1058039728342,62;1056492838848,78
Suiza;CHE;;;;;;;;;;;10218997713,24;11665105832,26;14087057837,82;19117667783,11;23175594602,76;25656377019,33;28703376540,25;33446299979,20;44774761744,97;50672877849,28;56172585785,05;53581992159,66;50403111362,85;48724852555,86;51113594501,43;52332532660,45;68986425593,42;80965278969,96;90152024191,90;92156315789,47;108671351857,18;105738270571,83;112563474612,43;109518060368,17;119116502888,06;139383426638,48;137783088996,76;135356206159,99;137791418816,39;137454516708,83;141789620440,55;141793622896,42;147504305787,25;169781825944,90;202880147969,44;219835929168,01;243432423831,55;294204136121,29;347370612131,84;309906630824,37;373420688240,77;457983317314,06;447813754667,61;495206231662,52;455817951895,79;422965464057,88;441347203251,84;442189906485,11;466305408279,79;464270210057,61
Islas del Canal;CHI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chile;CHL;536608944,07;525717060,80;614812442,88;697065976,80;732786384,67;800181243,36;1014234414,28;985193067,05;981819346,01;1347031542,32;1310155209,10;1179623638,78;1133195225,25;2239538316,39;3166342379,02;1837931193,02;2476026426,77;2754528077,37;3169044746,72;4824713525,46;6292627054,02;5363825291,24;4713939511,29;4767971202,83;4474125374,86;4647193725,63;5161066966,68;6308060062,77;8456167150,42;10071482715,09;10760217714,58;11842675065,57;13312092909,98;12758599161,74;15656361048,60;21025141438,62;20794067519,59;22487271963,94;20819483696,58;21624592264,63;23772266321,34;22996523019,97;22876417337,36;26973735771,33;39488088029,30;49382442843,86;67789580748,67;78242480554,84;74413752040,63;63854403849,52;82487244655,36;95255289952,08;91147100657,33;89638293156,15;86267287016,26;71654520805,77;70495462057,23;78790199944,63;85257763802,92;79613395185,94
China;CHN;2571289300,51;1937606629,30;1913234218,86;2031034202,62;2250385896,50;2563165163,70;2680965147,45;2388496222,28;2339751401,41;2429116906,33;2307254854,17;2782516857,58;3692485858,09;5876143560,87;7107893126,66;7688998817,08;6943442876,27;7519646894,18;6813008130,08;9204347826,09;11300000000,00;14587301587,30;22600124795,19;21956304449,37;24764305080,89;25801403273,95;26202580690,47;34072853910,00;44923701330,00;41190793490,00;49129758920,00;55542659170,00;66847400129,00;74280328750,00;104607445198,00;131858826000,00;154811877000,00;187447040000,00;188750394176,00;198699399635,00;253092089737,00;272060010515,89;333002310923,45;447958253781,62;607356934124,72;773339005396,99;991731387760,50;1258056795940,68;1497868782939,59;1262664161019,72;1654815752520,77;2006296851391,43;2175080625679,50;2354248580552,39;2462839435097,13;2362092880957,64;2199967569433,37;2424199911705,08;2655591916228,46;2641273365373,50
Côte d'Ivoire;CIV;187017625,56;218194462,12;221930221,92;258264752,48;330533040,41;338691189,41;372845096,27;392274948,99;521479828,10;500460465,16;520616448,59;510247597,57;619773363,31;896858189,63;1402963862,36;1430151941,39;1946009761,85;2670550446,37;2885366741,57;3163759568,37;3561631199,13;2966163293,55;2756185695,16;2527383751,37;3100078387,63;3263789748,10;3617154650,84;3372301472,43;3126609547,08;3125624091,60;3421191368,48;3149019076,46;3558855924,14;3252142526,24;3369268837,06;4593584282,15;4989346356,11;5030669759,28;5220928218,20;5247990455,08;4370512052,16;4559364399,97;5887803489,97;6426559249,96;7695883854,38;8528490015,52;9330184049,17;9620189719,19;11460026905,83;12395876701,65;12611974309,32;13678275118,48;13107575011,81;12988036434,94;13888904528,60;12532872742,54;11796835871,95;12855832026,05;13134192041,90;13918496153,85
Camerún;CMR;;;;;;193434683,34;179141516,12;192656350,97;232978068,75;269474960,78;304035800,03;284042012,60;291797729,28;363946226,85;573755351,32;624464986,35;696620421,38;843610400,55;1043175451,30;1224968082,52;1879642995,15;1669843815,38;2432257586,59;2243906920,39;2611952656,03;2725480658,49;2472751280,06;2053806127,93;2003045526,86;2306775345,76;2250713452,21;2486734793,38;2341602554,67;2157027779,24;2235509632,47;1990231973,73;2445458047,36;2695377807,29;2393027329,10;2245087608,14;2612567706,82;2679888437,51;2813421456,63;3044751072,91;3958470638,38;4413882090,69;4962622164,77;6460297270,75;7674073978,13;5568685495,53;5802300066,92;7617662949,03;7601120581,61;8273049826,32;8725705928,80;6884615104,88;6280435081,95;6506092153,94;7473268802,67;7885214648,64
Congo, República Democrática del;COD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1316878619,74;1607380673,71;1731595952,11;1142032617,06;1851630126,87;1113537727,27;2185507246,38;891666666,67;1367800837,58;2145055691,03;2340567899,37;2745153230,58;3136077074,81;6539494270,73;7723022252,04;5000335250,26;8865916412,11;10210736241,22;9027202464,46;11910414647,39;13226085525,35;10512898980,65;8896176892,91;13401989661,63;16080742572,54;15173271455,96
